Rank,Male name,Female name
872,Leroy,Elia
873,Ricky,Elina
874,Fisher,Lilianna
875,Keaton,Alitzel
876,Kylen,Barbara
877,Zev,Zainab
878,Ira,Ensley
879,Izan,Jaycee
880,Jedidiah,Winona
881,Yahya,Miller
882,Ignacio,Waverly
883,Mustafa,Andie
884,Nixon,Kimber
885,Aurelio,Marianna
886,Brendan,Emryn
887,Jericho,Baylee
888,Rocky,Karter
889,Calum,Keyla
890,Demetrius,Liberty
891,Eiden,Giuliana
892,Langston,Sol
893,Dash,Amelie
894,Landyn,Hadlee
895,Axl,Harmoni
896,Jovanni,Elliot
897,Mathew,Tiffany
898,Thaddeus,Bria
899,Justice,Chandler
900,Murphy,Dalia
901,Zavier,Lilyana
902,Curtis,Magdalena
903,Dane,Nori
904,Jrue,Jolie
905,Kellan,Judith
906,Semaj,Salma
907,Devon,Madalyn
908,Joe,Raquel
909,Joey,Keily
910,Van,Yamileth
911,Harlem,Braelyn
912,Jon,Kamiyah
913,Zechariah,Amaris
914,Ryatt,Harlee
915,Coleson,Kimora
916,Jairo,August
917,Salvatore,Ayleen
918,Eugene,Jazmine
919,Alistair,Raina
920,Cain,Ruthie
921,Harold,Princess
922,Kellen,Indy
923,Lucien,Laylani
924,Colten,Marleigh
925,Jabari,Roselyn
926,Castiel,Simone
927,Shmuel,Ashlynn
928,Alfred,Nataly
929,Benedict,Anika
930,Duncan,Giovanna
931,Meir,Lakelyn
932,Ermias,Luella
933,Mordechai,Solana
934,Yadiel,Bailee
935,Zen,Etta
936,Imran,Greta
937,Kaisen,Joelle
938,Kolson,Julissa
939,Eren,Kara
940,Jasiel,Kai
941,Kye,Avayah
942,Marlon,Nancy
943,Osiris,Alianna
944,Palmer,Ayra
945,Adler,Eleanora
946,Kartier,Sarahi
947,Kyren,Xyla
948,Aldo,Emmeline
949,Wesson,Kenia
950,Ahmir,Luisa
951,Ameer,Cadence
952,Boaz,Elouise
953,Nova,Reya
954,Shepard,Aura
955,Vance,Blessing
956,Asaiah,Emiliana
957,Randy,Annika
958,Talon,Kassidy
959,Yisroel,Saoirse
960,Kenai,Lilia
961,Stefan,Indigo
962,Yaakov,Mazie
963,Carl,Winifred
964,Deandre,Aleyna
965,Jones,Saanvi
966,Foster,Tru
967,Kelvin,Carla
968,Leighton,Deborah
969,Darwin,Malayah
970,Rishi,Hayley
971,Kole,Seraphina
972,Maurice,Allyson
973,Mccoy,Layne
974,Neo,Paloma
975,Titan,Soleil
976,Mael,Dana
977,Alfonso,Sapphire
978,Henrik,Kahlani
979,Jeremias,Nyra
980,Karsyn,Quincy
981,Shai,Whitney
982,TRUE,Laylah
983,Veer,Violette
984,Wren,Clare
985,Darren,Leanna
986,Ephraim,Natasha
987,Jadiel,Kairi
988,Mekhi,Ainhoa
989,Mikael,Alaiya
990,Osman,Esperanza
991,Atharv,Neriah
992,Eliezer,Amyra
993,Gordon,Araya
994,Kody,Elisabeth
995,Stone,Royal
996,Teddy,Aadhya
997,Abner,Angelique
998,Harley,Sariah
999,Ulises,Shay
1000,Hollis,Ayah
